bin_selection,time,x,xerr,x2,xerr2,n,v,verr,diodes_diode,diodes_diodeerr,diodes_m2,diodes_m2err,y,yerr
63,77683541.98220244,13002.741879517718,5.399446509003083e-05,12816.471105938906,3.7058238326465472e-06,490.0,39991.535539999546,0.009615148241430047,0.03368635955536048,0.0011841285191849348,0.023404272363724263,0.030423361967013507,52.0,7.211102550927978
64,77683538.12422998,13002.742079690206,5.341602023599281e-05,12816.471106569528,3.3716842687047026e-06,520.0,39991.506891730336,0.02618722622591573,0.033197159899940355,0.0011645177962287293,0.023447544489206964,0.030336492944319313,60.0,7.745966692414834
65,77683534.13925911,13002.742277007002,5.380690964192087e-05,12816.471107462632,2.8613412904766344e-06,520.0,39991.480128846146,0.006136103604062244,0.03312631341071383,0.0011137030391398571,0.023246391067394307,0.030614753740029543,32.0,5.656854249492381
66,77683530.16764449,13002.74247502724,5.520261501758207e-05,12816.47110689135,4.552947030193362e-06,521.0,39991.49389999992,0.0,0.03320800322997446,0.0010956470516261254,0.025106599500879786,0.03314432890231613,75.0,8.660254037844387
67,77683525.77536081,13002.742681429787,6.726081676356543e-05,12816.471106493698,3.1929311893020718e-06,633.0,39991.54803902091,0.017208134219319788,0.033261997588369875,0.0011201802978647035,0.017806438772622425,0.03097124966058566,44.0,6.6332495807108
68,77683521.52087002,13002.742891004209,5.796525396517292e-05,12816.471107221696,4.215011058443033e-06,484.0,39991.49392045431,0.030243603346399323,0.03271919180213583,0.001315980793249815,0.021533528725640506,0.030640443450090198,48.0,6.928203230275509
69,77683517.79934794,13002.743086144315,5.4710301959070097e-05,12816.47111029305,3.6778231045336665e-06,482.0,39991.48718755133,0.00986651924963688,0.03297560976257242,0.0011782626317346611,0.02115391565887154,0.031182439675858407,69.0,8.306623862918075
70,77683514.08705711,13002.743285410452,5.430114390518518e-05,12816.471108352363,3.0662291198000606e-06,484.0,39991.498561983826,0.00026586510143544284,0.03292443332852383,0.0011254019775761529,0.023801379635412144,0.03171198496968964,61.0,7.810249675906654
71,77683510.42938393,13002.74347813175,5.512315472296232e-05,12816.471109274948,3.5837419264333822e-06,470.0,39991.49969999999,0.0,0.03244499467530573,0.0010907063091928565,0.026053952372297354,0.030784559980157035,60.0,7.745966692414834
72,77683506.44008467,13002.743682483635,5.3412471454117854e-05,12816.471108738446,4.496053953490363e-06,568.0,39991.510084506655,0.00662216145336487,0.032464247979917565,0.0012636897358769459,0.021162486851553627,0.03075058364053272,49.0,7.0
